u,v,key,osmid,highway,name,oneway,ref,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width,access,traffic
31254332,31254325,0,97685754,unclassified,花椿通り,True,,False,5.72081179784972,"LINESTRING (139.7621899 35.6685462, 139.7622349 35.66851)",,30,,,,,1
31254332,31254333,0,196380141,trunk,中央通り,True,15,False,129.2694342296,"LINESTRING (139.7621899 35.6685462, 139.7622501 35.6686056, 139.76301 35.6693513, 139.7630468 35.6693874, 139.7631036 35.6694409)",2,50,,,,,1
31254333,565362096,0,33847144,unclassified,交詢社通り,True,,False,46.8573174643292,"LINESTRING (139.7631036 35.6694409, 139.7630441 35.6694814, 139.7627092 35.6697146)",,,,,,,1
31254333,473462992,0,196380141,trunk,中央通り,True,15,False,130.009887999419,"LINESTRING (139.7631036 35.6694409, 139.7631579 35.6694884, 139.7639484 35.6702319, 139.7639818 35.6702633, 139.7640459 35.6703246)",2,50,,,,,1
31254351,1130958431,0,342481196,unclassified,,True,,False,36.2776050050657,"LINESTRING (139.769742 35.6696618, 139.7700151 35.669901)",,,,,,,1
31255167,598438985,0,95274352,tertiary,,False,,True,22.279686868997,"LINESTRING (139.7689546 35.6715131, 139.7687599 35.6716361)",,,,,,,1
31255167,1130958649,0,69963039,primary,昭和通り,True,316,False,69.9620099416225,"LINESTRING (139.7689546 35.6715131, 139.768868 35.6714168, 139.7684933 35.6710077)",,,,,,,1
31255183,2153861398,0,856631371,unclassified,,True,,False,74.1589922091134,"LINESTRING (139.7700922 35.6740641, 139.7700531 35.6740166, 139.7696364 35.6735094)",1,30,,,,,1
31255183,1105125516,0,968060910,tertiary,銀座桜通り,False,,False,31.3521261000857,"LINESTRING (139.7700922 35.6740641, 139.7700395 35.6740898, 139.7697946 35.6742092)",,,,,,,1
31255183,1070638350,0,968060910,tertiary,銀座桜通り,False,,True,63.3826763182363,"LINESTRING (139.7700922 35.6740641, 139.7701426 35.6740474, 139.7705546 35.6739096, 139.7706103 35.673891, 139.7707411 35.6738472)",,,,,,,1
31255186,1105152945,0,968060906,tertiary,銀座桜通り,False,,True,60.2029678229294,"LINESTRING (139.7715876 35.6736674, 139.7716464 35.6736459, 139.7721952 35.6734449)",,,,,,,1
31255186,1070638366,0,968060907,tertiary,銀座桜通り,False,,False,56.3424318580959,"LINESTRING (139.7715876 35.6736674, 139.7715151 35.6736807, 139.7713328 35.6737138, 139.7711684 35.6737452, 139.7710997 35.6737583, 139.7709796 35.6737805)",,,,,,,1
31255186,5110457575,0,1085022605,unclassified,,True,,False,34.7074344676964,"LINESTRING (139.7715876 35.6736674, 139.7716165 35.6737177, 139.771751 35.6739499)",,,,,,,1
254367451,1105125307,0,539237084,primary,晴海通り,True,304,False,53.2035518054577,"LINESTRING (139.7661214 35.6704702, 139.7665353 35.6701298)",3,,,,,,1
258071906,258071907,0,1090618166,trunk,中央通り,True,15,False,12.5525754640366,"LINESTRING (139.7649681 35.6712011, 139.7650565 35.6712882)",2,50,,,,,1
258071906,565362098,0,539237085,primary,晴海通り,True,304,False,53.667280506741,"LINESTRING (139.7649681 35.6712011, 139.7648513 35.6712862, 139.7645315 35.6715284)",3,,,,,,1
258071907,951247020,0,539237084,primary,晴海通り,True,304,False,7.36625632063913,"LINESTRING (139.7650565 35.6712882, 139.7651153 35.6712423)",3,,,,,,1
258071907,565362105,0,1026056857,trunk,中央通り,True,15,False,113.636945121999,"LINESTRING (139.7650565 35.6712882, 139.7651753 35.6714051, 139.7657799 35.6719676, 139.7658183 35.6720033, 139.76588 35.6720607)",2,50,,,,,1
258071908,499185615,0,1070720650,tertiary,銀座桜通り,False,,True,7.75915701613482,"LINESTRING (139.7687537 35.6747814, 139.7688353 35.6747596)",,,,,,,1
